video_name,sentence,path
actioncliptrain00003,a label of GetOutCar,./data/hollywood2/train_clips/actioncliptrain00003.avi
actioncliptest00458,a label of Eat,./data/hollywood2/train_clips/actioncliptest00458.avi
actioncliptrain00038,a label of StandUp,./data/hollywood2/train_clips/actioncliptrain00038.avi
actioncliptrain00019,a label of actions,./data/hollywood2/train_clips/actioncliptrain00019.avi
actioncliptrain00001,a label of actions,./data/hollywood2/train_clips/actioncliptrain00001.avi
actioncliptrain00032,a label of StandUp,./data/hollywood2/train_clips/actioncliptrain00032.avi
actioncliptrain00033,a label of DriveCar,./data/hollywood2/train_clips/actioncliptrain00033.avi
actioncliptrain00021,a label of SitDown,./data/hollywood2/train_clips/actioncliptrain00021.avi
actioncliptrain00024,a label of SitDown,./data/hollywood2/train_clips/actioncliptrain00024.avi
actioncliptrain00016,a label of actions,./data/hollywood2/train_clips/actioncliptrain00016.avi
actioncliptest00456,a label of Eat,./data/hollywood2/train_clips/actioncliptest00456.avi
actioncliptest00357,a label of SitUp,./data/hollywood2/train_clips/actioncliptest00357.avi
actioncliptrain00012,a label of actions,./data/hollywood2/train_clips/actioncliptrain00012.avi
actioncliptest00428,a label of Eat,./data/hollywood2/train_clips/actioncliptest00428.avi
actioncliptrain00026,a label of FightPerson,./data/hollywood2/train_clips/actioncliptrain00026.avi
actioncliptrain00020,a label of actions,./data/hollywood2/train_clips/actioncliptrain00020.avi
actioncliptest00656,a label of Eat,./data/hollywood2/train_clips/actioncliptest00656.avi
actioncliptest00342,a label of AnswerPhone,./data/hollywood2/train_clips/actioncliptest00342.avi
actioncliptest00633,a label of Eat,./data/hollywood2/train_clips/actioncliptest00633.avi
actioncliptrain00008,a label of actions,./data/hollywood2/train_clips/actioncliptrain00008.avi
actioncliptest00346,a label of HugPerson,./data/hollywood2/train_clips/actioncliptest00346.avi
actioncliptest00356,a label of AnswerPhone,./data/hollywood2/train_clips/actioncliptest00356.avi
actioncliptrain00015,a label of actions,./data/hollywood2/train_clips/actioncliptrain00015.avi
actioncliptrain00027,a label of DriveCar,./data/hollywood2/train_clips/actioncliptrain00027.avi
actioncliptrain00001,a label of SitUp,./data/hollywood2/train_clips/actioncliptrain00001.avi
actioncliptrain00030,a label of DriveCar,./data/hollywood2/train_clips/actioncliptrain00030.avi
actioncliptrain00037,a label of SitUp,./data/hollywood2/train_clips/actioncliptrain00037.avi
actioncliptrain00014,a label of actions,./data/hollywood2/train_clips/actioncliptrain00014.avi
actioncliptrain00012,a label of Kiss,./data/hollywood2/train_clips/actioncliptrain00012.avi
actioncliptest00341,a label of AnswerPhone,./data/hollywood2/train_clips/actioncliptest00341.avi
actioncliptrain00017,a label of actions,./data/hollywood2/train_clips/actioncliptrain00017.avi
actioncliptrain00004,a label of Eat,./data/hollywood2/train_clips/actioncliptrain00004.avi
actioncliptrain00013,a label of SitUp,./data/hollywood2/train_clips/actioncliptrain00013.avi
actioncliptrain00009,a label of AnswerPhone,./data/hollywood2/train_clips/actioncliptrain00009.avi
actioncliptrain00003,a label of actions,./data/hollywood2/train_clips/actioncliptrain00003.avi
actioncliptrain00023,a label of SitDown,./data/hollywood2/train_clips/actioncliptrain00023.avi
actioncliptrain00002,a label of actions,./data/hollywood2/train_clips/actioncliptrain00002.avi
actioncliptest00360,a label of AnswerPhone,./data/hollywood2/train_clips/actioncliptest00360.avi
actioncliptest00340,a label of HandShake,./data/hollywood2/train_clips/actioncliptest00340.avi
actioncliptrain00040,a label of Kiss,./data/hollywood2/train_clips/actioncliptrain00040.avi
actioncliptrain00005,a label of StandUp,./data/hollywood2/train_clips/actioncliptrain00005.avi
actioncliptrain00028,a label of SitUp,./data/hollywood2/train_clips/actioncliptrain00028.avi
actioncliptrain00029,a label of Run,./data/hollywood2/train_clips/actioncliptrain00029.avi
actioncliptrain00011,a label of Kiss,./data/hollywood2/train_clips/actioncliptrain00011.avi
actioncliptrain00004,a label of actions,./data/hollywood2/train_clips/actioncliptrain00004.avi
actioncliptrain00006,a label of actions,./data/hollywood2/train_clips/actioncliptrain00006.avi
actioncliptrain00016,a label of SitUp,./data/hollywood2/train_clips/actioncliptrain00016.avi
actioncliptest00398,a label of HandShake,./data/hollywood2/train_clips/actioncliptest00398.avi
actioncliptrain00013,a label of actions,./data/hollywood2/train_clips/actioncliptrain00013.avi
actioncliptest00358,a label of AnswerPhone,./data/hollywood2/train_clips/actioncliptest00358.avi
actioncliptrain00009,a label of actions,./data/hollywood2/train_clips/actioncliptrain00009.avi
actioncliptrain00010,a label of DriveCar,./data/hollywood2/train_clips/actioncliptrain00010.avi
actioncliptrain00007,a label of actions,./data/hollywood2/train_clips/actioncliptrain00007.avi
actioncliptrain00015,a label of SitUp,./data/hollywood2/train_clips/actioncliptrain00015.avi
actioncliptest00396,a label of HandShake,./data/hollywood2/train_clips/actioncliptest00396.avi
actioncliptest00625,a label of Eat,./data/hollywood2/train_clips/actioncliptest00625.avi
actioncliptrain00007,a label of DriveCar,./data/hollywood2/train_clips/actioncliptrain00007.avi
actioncliptrain00008,a label of GetOutCar,./data/hollywood2/train_clips/actioncliptrain00008.avi
actioncliptrain00022,a label of StandUp,./data/hollywood2/train_clips/actioncliptrain00022.avi
