video_name,sentence,path
actioncliptrain00429,a label of Eat,./data/hollywood2/test_clips/actioncliptrain00429.avi
actioncliptest00261,a label of Eat,./data/hollywood2/test_clips/actioncliptest00261.avi
actioncliptest00144,a label of Eat,./data/hollywood2/test_clips/actioncliptest00144.avi
actioncliptest00165,a label of Run,./data/hollywood2/test_clips/actioncliptest00165.avi
actioncliptrain00252,a label of Eat,./data/hollywood2/test_clips/actioncliptrain00252.avi
actioncliptrain00081,a label of DriveCar,./data/hollywood2/test_clips/actioncliptrain00081.avi
actioncliptrain00072,a label of Kiss,./data/hollywood2/test_clips/actioncliptrain00072.avi
actioncliptrain00105,a label of Kiss,./data/hollywood2/test_clips/actioncliptrain00105.avi
actioncliptest00245,a label of SitUp,./data/hollywood2/test_clips/actioncliptest00245.avi
actionclipautoautotrain00190,a label of FightPerson,./data/hollywood2/test_clips/actionclipautoautotrain00190.avi
actioncliptest00290,a label of HugPerson,./data/hollywood2/test_clips/actioncliptest00290.avi
actioncliptrain00185,a label of Run,./data/hollywood2/test_clips/actioncliptrain00185.avi
actionclipautoautotrain00089,a label of DriveCar,./data/hollywood2/test_clips/actionclipautoautotrain00089.avi
actionclipautoautotrain00067,a label of DriveCar,./data/hollywood2/test_clips/actionclipautoautotrain00067.avi
actionclipautoautotrain00281,a label of HandShake,./data/hollywood2/test_clips/actionclipautoautotrain00281.avi
actionclipautoautotrain00160,a label of Eat,./data/hollywood2/test_clips/actionclipautoautotrain00160.avi
actionclipautoautotrain00008,a label of StandUp,./data/hollywood2/test_clips/actionclipautoautotrain00008.avi
actionclipautoautotrain00216,a label of SitUp,./data/hollywood2/test_clips/actionclipautoautotrain00216.avi
actionclipautoautotrain00069,a label of DriveCar,./data/hollywood2/test_clips/actionclipautoautotrain00069.avi
actionclipautoautotrain00106,a label of StandUp,./data/hollywood2/test_clips/actionclipautoautotrain00106.avi
actionclipautoautotrain00115,a label of Run,./data/hollywood2/test_clips/actionclipautoautotrain00115.avi
actioncliptest00092,a label of StandUp,./data/hollywood2/test_clips/actioncliptest00092.avi
actioncliptest00093,a label of Kiss,./data/hollywood2/test_clips/actioncliptest00093.avi
actioncliptrain00091,a label of StandUp,./data/hollywood2/test_clips/actioncliptrain00091.avi
actionclipautoautotrain00131,a label of GetOutCar,./data/hollywood2/test_clips/actionclipautoautotrain00131.avi
actioncliptrain00003,a label of GetOutCar,./data/hollywood2/test_clips/actioncliptrain00003.avi
actioncliptest00213,a label of Eat,./data/hollywood2/test_clips/actioncliptest00213.avi
actionclipautoautotrain00121,a label of Run,./data/hollywood2/test_clips/actionclipautoautotrain00121.avi
actioncliptest00071,a label of SitDown,./data/hollywood2/test_clips/actioncliptest00071.avi
actioncliptest00458,a label of Eat,./data/hollywood2/test_clips/actioncliptest00458.avi
actionclipautoautotrain00075,a label of DriveCar,./data/hollywood2/test_clips/actionclipautoautotrain00075.avi
actioncliptest00084,a label of StandUp,./data/hollywood2/test_clips/actioncliptest00084.avi
